物理实验助手 v2.3.2 — 模拟实验数据（30度斜面）
======================================================================
数据点数：47
斜面角度：30°
轨道长度：2000mm
制动模型：正弦曲线刹车
======================================================================

  序号     时间(s)      位移(mm)    速度(mm/s)    加速度(mm/s2)  阶段
-----------------------------------------------------------------
   1     0.050         5.8       229.9        4598.4  加速段
   2     0.100        22.2       429.2        3985.3  加速段
   3     0.150        47.9       597.8        3372.2  加速段
   4     0.200        81.2       735.8        2759.1  加速段
   5     0.250       120.7       843.0        2145.9  加速段
   6     0.300       164.8       919.7        1532.8  加速段
   7     0.350       211.9       965.7         919.7  加速段
   8     0.400       260.6       981.0         306.6  加速段
   9     0.450       309.6       981.0           0.0  匀速段
  10     0.500       358.7       981.0           0.0  匀速段
  11     0.550       407.7       981.0           0.0  匀速段
  12     0.600       456.8       981.0           0.0  匀速段
  13     0.650       505.8       981.0           0.0  匀速段
  14     0.700       554.9       981.0           0.0  匀速段
  15     0.750       603.9       981.0           0.0  匀速段
  16     0.800       653.0       981.0           0.0  匀速段
  17     0.850       702.0       981.0           0.0  匀速段
  18     0.900       751.1       981.0           0.0  匀速段
  19     0.950       800.1       981.0           0.0  匀速段
  20     1.000       849.2       981.0           0.0  匀速段
  21     1.050       898.2       981.0           0.0  匀速段
  22     1.100       947.3       981.0           0.0  匀速段
  23     1.150       996.3       981.0           0.0  匀速段
  24     1.200      1045.4       981.0           0.0  匀速段
  25     1.250      1094.4       981.0           0.0  匀速段
  26     1.300      1143.5       981.0           0.0  匀速段
  27     1.350      1192.5       981.0           0.0  匀速段
  28     1.400      1241.6       981.0           0.0  匀速段
  29     1.450      1290.6       981.0           0.0  匀速段
  30     1.500      1339.7       981.0           0.0  匀速段
  31     1.550      1388.7       981.0           0.0  匀速段
  32     1.600      1437.8       981.0           0.0  匀速段
  33     1.650      1486.8       981.0           0.0  匀速段
  34     1.700      1535.9       981.0           0.0  匀速段
  35     1.750      1584.9       981.0           0.0  匀速段
  36     1.800      1634.0       981.0           0.0  匀速段
  37     1.850      1683.0       981.0           0.0  匀速段
  38     1.900      1732.1       981.0           0.0  匀速段
  39     1.950      1781.1       981.0           0.0  匀速段
  40     2.000      1830.2       981.0           0.0  匀速段
  41     2.048      1877.4       981.0           0.0  匀速段
  42     2.098      1924.0       885.8       -1904.7  刹车段
  43     2.148      1962.1       636.4       -4986.6  刹车段
  44     2.198      1986.2       328.2       -6163.8  刹车段
  45     2.248      1996.4        78.9       -4986.6  刹车段
  46     2.298      2000.0         0.0       -1578.2  刹车段
  47     2.348      2000.0         0.0           0.0  静止
-----------------------------------------------------------------
终点状态：v=0.0  a=0.0  s=2000.0mm  (Ep=0, Ek=0)

确定性指纹 MD5：无随机噪声，每次运行完全一致
